state,product,market_price,unit,currency
Assam,Potato,725.0,quintal,INR
Assam,Rice,2900.0,quintal,INR
Assam,Rice,4800.0,quintal,INR
Assam,Wheat Atta,1175.0,quintal,INR
Assam,Lentil(Masur),5800.0,quintal,INR
Assam,Rice,2350.0,quintal,INR
Assam,Lentil(Masur),6000.0,quintal,INR
Assam,Rice,2600.0,quintal,INR
Assam,Rice,3400.0,quintal,INR
Assam,Rice,6500.0,quintal,INR
Assam,Green Gram Dal (Moong Dal),6750.0,quintal,INR
Assam,Lentil(Masur),4825.0,quintal,INR
Assam,Maida Atta,2500.0,quintal,INR
Assam,Rice,2500.0,quintal,INR
Assam,Rice,3300.0,quintal,INR
Assam,Rice,4900.0,quintal,INR
Assam,Green Gram Dal (Moong Dal),6900.0,quintal,INR
Assam,Maida Atta,2350.0,quintal,INR
Assam,Onion,3050.0,quintal,INR
Assam,Rice,2550.0,quintal,INR
Assam,Rice,3650.0,quintal,INR
Assam,Rice,6300.0,quintal,INR
Assam,Wheat Atta,2250.0,quintal,INR
Goa,Arecanut(Betelnut/Supari),17500.0,quintal,INR
Goa,Arecanut(Betelnut/Supari),20500.0,quintal,INR
Goa,Arecanut(Betelnut/Supari),18500.0,quintal,INR
Goa,Coconut,1300.0,quintal,INR
Goa,Arecanut(Betelnut/Supari),18700.0,quintal,INR
Goa,Arecanut(Betelnut/Supari),21700.0,quintal,INR
Goa,Arecanut(Betelnut/Supari),19700.0,quintal,INR
Gujarat,Brinjal,750.0,quintal,INR
Gujarat,Carrot,900.0,quintal,INR
Gujarat,Cauliflower,425.0,quintal,INR
Gujarat,Green Chilli,2150.0,quintal,INR
Gujarat,Lemon,1300.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),4005.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3500.0,quintal,INR
Gujarat,Castor Seed,3915.0,quintal,INR
Gujarat,Cotton,4800.0,quintal,INR
Gujarat,Cummin Seed(Jeera),18220.0,quintal,INR
Gujarat,Jowar(Sorghum),3020.0,quintal,INR
Gujarat,Maize,1405.0,quintal,INR
Gujarat,Methi Seeds,2675.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",7415.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",8250.0,quintal,INR
Gujarat,Soyabean,3375.0,quintal,INR
Gujarat,Wheat,1690.0,quintal,INR
Gujarat,Cotton,4415.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1380.0,quintal,INR
Gujarat,Black Gram (Urd Beans),4025.0,quintal,INR
Gujarat,Castor Seed,3750.0,quintal,INR
Gujarat,Cotton,4613.0,quintal,INR
Gujarat,Cummin Seed(Jeera),17000.0,quintal,INR
Gujarat,Green Gram (Moong),5125.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",6875.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",7475.0,quintal,INR
Gujarat,Wheat,1725.0,quintal,INR
Gujarat,Bottle Gourd,450.0,quintal,INR
Gujarat,Brinjal,600.0,quintal,INR
Gujarat,Carrot,800.0,quintal,INR
Gujarat,Cauliflower,600.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1090.0,quintal,INR
Gujarat,Mustard,3150.0,quintal,INR
Gujarat,Wheat,1560.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1100.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),3878.0,quintal,INR
Gujarat,Wheat,1639.0,quintal,INR
Gujarat,Cotton,5110.0,quintal,INR
Gujarat,Mustard,3295.0,quintal,INR
Gujarat,Soanf,9750.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1300.0,quintal,INR
Gujarat,Castor Seed,4055.0,quintal,INR
Gujarat,Groundnut,3375.0,quintal,INR
Gujarat,Mustard,3375.0,quintal,INR
Gujarat,Wheat,1750.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1250.0,quintal,INR
Gujarat,Castor Seed,4070.0,quintal,INR
Gujarat,Cotton,4155.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4095.0,quintal,INR
Gujarat,Mustard,3325.0,quintal,INR
Gujarat,Wheat,1595.0,quintal,INR
Gujarat,Bottle Gourd,375.0,quintal,INR
Gujarat,Green Chilli,2250.0,quintal,INR
Gujarat,Lemon,2250.0,quintal,INR
Gujarat,Castor Seed,4040.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4060.0,quintal,INR
Gujarat,Mustard,3350.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",7125.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),3465.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1200.0,quintal,INR
Gujarat,Castor Seed,4045.0,quintal,INR
Gujarat,Cummin Seed(Jeera),17400.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),3981.0,quintal,INR
Gujarat,Mustard,3250.0,quintal,INR
Gujarat,Wheat,1600.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1875.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1320.0,quintal,INR
Gujarat,Castor Seed,4100.0,quintal,INR
Gujarat,Cummin Seed(Jeera),16750.0,quintal,INR
Gujarat,Green Gram (Moong),4125.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4200.0,quintal,INR
Gujarat,Mustard,3425.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1850.0,quintal,INR
Gujarat,Mustard,3440.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1132.5,quintal,INR
Gujarat,Castor Seed,4050.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4057.5,quintal,INR
Gujarat,Wheat,1752.5,quintal,INR
Gujarat,Bottle Gourd,425.0,quintal,INR
Gujarat,Brinjal,1100.0,quintal,INR
Gujarat,Coriander(Leaves),600.0,quintal,INR
Gujarat,Ginger(Green),2450.0,quintal,INR
Gujarat,Green Chilli,2525.0,quintal,INR
Gujarat,Lemon,1175.0,quintal,INR
Gujarat,Tomato,600.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),3400.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1500.0,quintal,INR
Gujarat,Castor Seed,3600.0,quintal,INR
Gujarat,Cotton,4600.0,quintal,INR
Gujarat,Jowar(Sorghum),1800.0,quintal,INR
Gujarat,Maize,1500.0,quintal,INR
Gujarat,Wheat,2200.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),3500.0,quintal,INR
Gujarat,Castor Seed,3500.0,quintal,INR
Gujarat,Jowar(Sorghum),1900.0,quintal,INR
Gujarat,Castor Seed,3710.0,quintal,INR
Gujarat,Groundnut,3400.0,quintal,INR
Gujarat,Groundnut,3500.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",7750.0,quintal,INR
Gujarat,Black Gram (Urd Beans),1750.0,quintal,INR
Gujarat,Wheat,1625.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),3900.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),4500.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1150.0,quintal,INR
Gujarat,Beans,4300.0,quintal,INR
Gujarat,Bengal Gram(Gram),3630.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3600.0,quintal,INR
Gujarat,Castor Seed,3650.0,quintal,INR
Gujarat,Corriander Seed,7500.0,quintal,INR
Gujarat,Green Gram (Moong),3500.0,quintal,INR
Gujarat,Groundnut,3800.0,quintal,INR
Gujarat,Jowar(Sorghum),1200.0,quintal,INR
Gujarat,Maize,1240.0,quintal,INR
Gujarat,Soyabean,3680.0,quintal,INR
Gujarat,Bottle Gourd,500.0,quintal,INR
Gujarat,Coriander(Leaves),500.0,quintal,INR
Gujarat,Ginger(Green),3200.0,quintal,INR
Gujarat,Green Chilli,3200.0,quintal,INR
Gujarat,Lemon,1800.0,quintal,INR
Gujarat,Onion,1500.0,quintal,INR
Gujarat,Potato,500.0,quintal,INR
Gujarat,Tomato,400.0,quintal,INR
Gujarat,Maize,1435.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1232.0,quintal,INR
Gujarat,Castor Seed,3977.0,quintal,INR
Gujarat,Wheat,1667.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1212.0,quintal,INR
Gujarat,Castor Seed,3950.0,quintal,INR
Gujarat,Wheat,1647.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1225.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4150.0,quintal,INR
Gujarat,Brinjal,1500.0,quintal,INR
Gujarat,Carrot,1000.0,quintal,INR
Gujarat,Cauliflower,500.0,quintal,INR
Gujarat,Green Chilli,2500.0,quintal,INR
Gujarat,Lemon,1500.0,quintal,INR
Gujarat,Groundnut,3450.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3545.0,quintal,INR
Gujarat,Castor Seed,3470.0,quintal,INR
Gujarat,Cotton,4775.0,quintal,INR
Gujarat,Cummin Seed(Jeera),15125.0,quintal,INR
Gujarat,Groundnut,2960.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),3710.0,quintal,INR
Gujarat,Mustard,3085.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",8035.0,quintal,INR
Gujarat,Wheat,1670.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),3878.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3365.0,quintal,INR
Gujarat,Castor Seed,3553.0,quintal,INR
Gujarat,Cotton,4700.0,quintal,INR
Gujarat,Cummin Seed(Jeera),17213.0,quintal,INR
Gujarat,Groundnut,3390.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",7175.0,quintal,INR
Gujarat,Wheat,1653.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),4200.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1070.0,quintal,INR
Gujarat,Beans,2750.0,quintal,INR
Gujarat,Castor Seed,3900.0,quintal,INR
Gujarat,Corriander Seed,4250.0,quintal,INR
Gujarat,Cotton,4625.0,quintal,INR
Gujarat,Green Gram (Moong),3000.0,quintal,INR
Gujarat,Ground Nut Seed,4550.0,quintal,INR
Gujarat,Groundnut (Split),4000.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4000.0,quintal,INR
Gujarat,Kulthi(Horse Gram),3555.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",7350.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",6500.0,quintal,INR
Gujarat,Soyabean,3250.0,quintal,INR
Gujarat,Wheat,1550.0,quintal,INR
Gujarat,Cotton,4867.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1330.0,quintal,INR
Gujarat,Corriander Seed,5000.0,quintal,INR
Gujarat,Groundnut,3925.0,quintal,INR
Gujarat,Groundnut,3625.0,quintal,INR
Gujarat,Jowar(Sorghum),3100.0,quintal,INR
Gujarat,Brinjal,1000.0,quintal,INR
Gujarat,Carrot,1600.0,quintal,INR
Gujarat,Cauliflower,1250.0,quintal,INR
Gujarat,Green Chilli,1350.0,quintal,INR
Gujarat,Lemon,4200.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),4125.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3470.0,quintal,INR
Gujarat,Cotton,4650.0,quintal,INR
Gujarat,Cummin Seed(Jeera),16375.0,quintal,INR
Gujarat,Ground Nut Seed,4025.0,quintal,INR
Gujarat,Groundnut,3340.0,quintal,INR
Gujarat,Methi Seeds,2400.0,quintal,INR
Gujarat,Onion,1300.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",7000.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",7325.0,quintal,INR
Gujarat,Wheat,1660.0,quintal,INR
Gujarat,Castor Seed,4010.0,quintal,INR
Gujarat,Cotton,5000.0,quintal,INR
Gujarat,Jowar(Sorghum),3350.0,quintal,INR
Gujarat,Castor Seed,3960.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4130.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",7938.0,quintal,INR
Gujarat,Castor Seed,4000.0,quintal,INR
Gujarat,Cummin Seed(Jeera),14755.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),3910.0,quintal,INR
Gujarat,Cotton,4850.0,quintal,INR
Gujarat,Paddy(Dhan),1560.0,quintal,INR
Gujarat,Brinjal,500.0,quintal,INR
Gujarat,Bottle Gourd,350.0,quintal,INR
Gujarat,Coriander(Leaves),300.0,quintal,INR
Gujarat,Ginger(Green),1925.0,quintal,INR
Gujarat,Lemon,950.0,quintal,INR
Gujarat,Onion,1975.0,quintal,INR
Gujarat,Potato,750.0,quintal,INR
Gujarat,Tomato,300.0,quintal,INR
Gujarat,Black Gram (Urd Beans),4372.0,quintal,INR
Gujarat,Castor Seed,3975.0,quintal,INR
Gujarat,Cotton,4927.0,quintal,INR
Gujarat,Cummin Seed(Jeera),16015.0,quintal,INR
Gujarat,Green Gram (Moong),4527.0,quintal,INR
Gujarat,Methi Seeds,2437.0,quintal,INR
Gujarat,Mustard,3202.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),3975.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1140.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3875.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4300.0,quintal,INR
Gujarat,Methi Seeds,2655.0,quintal,INR
Gujarat,Mustard,3200.0,quintal,INR
Gujarat,Cotton,5075.0,quintal,INR
Gujarat,Ajwan,6500.0,quintal,INR
Gujarat,Corriander Seed,5300.0,quintal,INR
Gujarat,Cummin Seed(Jeera),18200.0,quintal,INR
Gujarat,Isabgul (Psyllium),9650.0,quintal,INR
Gujarat,Soanf,7375.0,quintal,INR
Gujarat,Suva (Dill Seed),4975.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),3480.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1195.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3827.0,quintal,INR
Gujarat,Castor Seed,3980.0,quintal,INR
Gujarat,Cotton,4755.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4030.0,quintal,INR
Gujarat,Jowar(Sorghum),3287.0,quintal,INR
Gujarat,Methi Seeds,2487.0,quintal,INR
